ItemName1 萨以特
ItemHelp35 由轩辕剑鞘幻化而成的仙童，好奇心很重，完全是个小孩子的心，跟轩辕剑仙成一老一少的对比。
ItemInfo35 可召唤轩辕剑童帮助我方，但需消耗体力600点
ItemName36 林明
ItemName37 夜行装林明
ItemName38 镇邪
ItemHelp38 张客养的狮子，毛发有特别梳理过成卷毛，喜欢玩球。
ItemName39 王思月
ItemName40 悟缘
ItemName41 唐玄宗
ItemName42 安禄山
ItemName43 杨贵妃
ItemName44 杨国忠
ItemName45 高力士
ItemName46 蚩尤
ItemHelp46 上古的魔神，与黄帝大战后被轩辕剑封印在一个隐密的地点，至今尚无人知晓；不过正常的人，是不会想去释放他的。
ItemName47 蟹精魔机
ItemHelp47 搜集残缺的机关设计图后，请古玩店制作出的强力机关。
ItemInfo47 消费：350点体力
ItemName48 机关三魔兽
ItemHelp48 黄雷所制作的大型机关兽之一；外观是由三头魔兽─海鹰、玡虎、翟狼的型态而组成的。全身分为两大节，常见的攻击模式是用尾巴击打敌人；至于其它的攻击方式看过的人都没有活下来的。
ItemName49 羯忍幻机
ItemHelp49 搜集残缺的机关设计图后，请古玩店制作出的强力机关。
ItemInfo49 消费：300点体力
ItemName50 影忍妖机
ItemHelp50 利用妖魔与机关人合一制造的特殊机种，拥有无人可匹敌的速度，搭配特制的铁金刀能在一瞬间把认定的目标摧毁。
ItemName51 羯羊妖机
ItemHelp51 黄雷的得意作品之二，经过不断的研究与改良，再加上康那里士的黑暗力量，而产生的强大半妖半机械的机关兽。
ItemName52 夜叉悟缘
ItemHelp52 悟缘武僧被施法控制后，所变化的妖怪。
ItemName53 雨丹子五鬼
ItemHelp53 黑坛教教主，道教里面的除名叛徒，恶名昭彰于长安，专门用咒术为恶。在与主角交战中还使出纸人代形的邪法。
ItemName54 人尸曼陀罗阵
ItemName55 撒旦曼陀罗阵
ItemName56 菲力斯
ItemName57 机关和尚
ItemHelp57 少林寺木人巷的机关装置，为了测试修行者的武术而制造的。
ItemName58 丕平三世
ItemName59 牛魔王
ItemHelp59 出自西游记，具有强大力量的魔王，友情客串演出。
ItemName60 冰魔薇达
ItemHelp60 凯利宾瓦力德之后裔，女中豪杰，被蓝魔神施展附身术后，尚失神智并攻击主角。
ItemName61 机关三魔兽
ItemHelp61 是三头机关魔兽─海鹰、玡虎、翟狼的后备型态；少了不少组件速度增快不少，但也同时降低了防御力。
ItemName62 蓝魔神本体
ItemHelp62 发挥真正力量的蓝魔神。
ItemName63 姆斯比尔
ItemHelp63 传说在北欧一种住在火焰之地的巨人，周身包围着火焰，非常暴躁，也从不跟人类说话，想烧尽一切眼前的事物。
ItemInfo63 产生 火系 全体攻击性魔法 消费：100点体力
ItemName64 蓝魔神
ItemHelp64 蓝人的领导者，是一女性外观的蓝人，是所有蓝人﹝男性外观﹞的首领，她住在海中冰山，受撒旦指使去移动岛寻找主角。
ItemInfo64 产生 水系 全体攻击性魔法 消费：120点体力
ItemName65 影忍妖机
ItemHelp65 利用妖魔与机关人合一制造的特殊机种，拥有无人可匹敌的速度，搭配特制的铁金刀能在一瞬间把认定的目标摧毁。
ItemName66 李白
ItemName67 康那里士
ItemHelp67 梅罗文加护教骑士的指导教士。
ItemName68 撒旦麦尔斯
ItemHelp68 潜在魔性觉醒后的麦尔斯，除了外形之外可以说是完完整整的撒旦了。
ItemName69 撒旦麦尔斯
ItemHelp69 潜在魔性觉醒后的麦尔斯，除了外形之外可以说是完完整整的撒旦了。
ItemName70 蜃楼王
ItemHelp70 在沙漠出现的幻象之王，外形变化多端。会把一般的旅人拉入魔天（幻象的世界）。
ItemInfo70 产生 雷电系 单人攻击性魔法 消费：150点体力
ItemName71 木铁人
ItemHelp71 少林寺木人巷的机关装置，为了测试修行者的武术而制造的。
ItemName72 康那里士
ItemHelp72 梅罗文加护教骑士的指导教士。
ItemName73 撒旦麦尔斯
ItemHelp73 潜在魔性觉醒后的麦尔斯，除了外形之外可以说是完完整整的撒旦了。
ItemName74 撒旦
ItemHelp74 地狱界其中之一的集团首领，自古以来就叛逆天上界，到处在地上界暗中扰乱人类的安宁，酷爱战争与流血。平常不轻易现身，绝大部分都是暗中指挥，这是避免被执法神逮住。
ItemName75 撒旦賽特
ItemHelp75 使用賽特屍體復活的撒旦，因為是操縱屍體，無法自在的運用撒旦真正的力量。
ItemName76 羯忍幻机
ItemHelp76 黄雷在超越技术瓶颈后，与妖魔所组合而成的超级机关兽。
ItemName90 薇达(面纱版)
ItemName91 萨以特幽灵版
ItemName93 慧彦
ItemHelp93 中国少林寺僧人，中国武术高超。外型瘦小平凡，穿着破烂唐装与披风，微留白发，笑容可拘。
ItemName94 萨以特(骆驼)
ItemName95 萨以特(小角色)
ItemName96 李靖
ItemName97 安卡
ItemName98 卡玛
ItemName99 妮可
ItemName101 黏怪
ItemHelp101 由动物灵所控制的单细胞生命体，会攻击其他生物，用分泌出来的强酸来吞食。
ItemInfo101 消费：8点体力
ItemName102 蛇
ItemHelp102 通常蛇认为人类侵入它的地盘时，就会展开攻击；有些是含有剧毒的。
ItemName103 狮
ItemHelp103 在饥饿时会猎食，一般都是母狮出外猎食较多。
ItemName104 虎
ItemHelp104 盘据在森林或山林中，是非常又攻击性的猛兽；它的攻击是很难令人捉摸的，被它的爪挥过去的话可能会一击毙命的。
ItemName105 度度鸟
ItemHelp105 一种嘴坚硬硕大、翅膀短小、脚蹄粗短、奔走速度极快的鸟；传说如果可以得到它尾巴的羽毛会带来好运的。
ItemName106 野猴
ItemHelp106 群居性动物，经常在森林、丛林等地偷袭来往的人类抢夺食物。
ItemName107 黑金刚
ItemHelp107 只在少数的密林的出没，体型硕大、力大无穷；吼叫时听了都令人生畏，曾有人目睹金刚把老虎打倒在地大声吼叫。
ItemName108 熊
ItemHelp108 用爪痕当标记以区别领域，通常会攻击别的生物大都是侵犯到它的地盘所致。
ItemName109 吸血蝙蝠
ItemHelp109 夜出昼寝的吸血动物，少数地区的蝙蝠可以生长的如此快速的；但相对的吸的血也比一般的蝙蝠多。
ItemName110 毒蝎子
ItemHelp110 主要分布在各温暖地区，要小心它的双螯和那根毒针；具有麻醉作用。
ItemName111 毒蜘蛛
ItemHelp111 所有的蜘蛛都是肉食性的，特别是含有剧毒的；出外旅行时可得小心防范。
ItemName112 隐翅虫
ItemHelp112 将翅膀隐藏起来慢慢爬行到人体后再用刺吸式口器吸食血肉，等到发现时再展翅高飞而去。
ItemName113 巨蛾
ItemHelp113 突变的巨大飞蛾，翅膀能洒下毒粉使人昏迷；在一般干燥明亮地区经常出没。
ItemName114 毒蟾蜍
ItemHelp114 其幼虫大部份成体在远离水源的地方，皮肤干燥长满许多疣；在遭袭击时能产生毒素攻击敌人。
ItemName115 巨蛙
ItemHelp115 特例的变种蛙。
ItemName116 水蛇
ItemHelp116 只在潮湿或者多水的区域出现，通常是无毒的。
ItemName117 狼
ItemHelp117 只能看的到与视野成一直线的猎物，一但被盯上了很难摆脱的掉；经常结群猎捕食物。
ItemName118 吸血僵尸
ItemHelp118 被吸血鬼吸血致死的人。如果没被黑暗之主选上的话，只能作一没有意识的害人躯壳。
ItemInfo118 消费：16点体力
ItemName119 鹰
ItemHelp119 翱翔于天空中看到猎物时则俯冲向下；用爪子抓住猎物身体，一般被抓的猎物在回巢前就已死亡了。
ItemName120 蜈蚣
ItemHelp120 无论大小各种蜈蚣人们都认为是非常毒的昆虫；也是五毒之一所以不管有毒是否皆得小心。
ItemName121 黑蜈蚣
ItemHelp121 无论大小各种蜈蚣人们都认为是非常毒的昆虫；也是五毒之一所以不管有毒是否皆得小心尤其是黑蜈蚣。
ItemName122 红耳蝙蝠
ItemHelp122 夜出昼寝的吸血动物，再某些基因突变后生出一对红耳，而且也变得特别凶恶。
ItemName123 北欧狼
ItemHelp123 来自欧洲北部的狼，攻击性与体型都较一般的狼来的强。
ItemName124 炎灵子
ItemHelp124 一般是被召唤出现的，可以自由的控制火焰；炎灵子出现时所有的火焰便如有生命般的任意飞舞。
ItemInfo124 消费：180点体力
ItemName125 吸血鬼王
ItemHelp125 众多吸血鬼中，能力较高者。
ItemInfo125 消费：27点体力
ItemName126 邪灵
ItemHelp126 常与恶灵在一起，但因怨念与邪心较重，所以也较恶灵可怕。
ItemInfo126 消费：20点体力
ItemName127 石骨鱼
ItemHelp127 鳞片如石般坚硬，眼大如牛、鳍如火焰；专吃木头的怪兽。
ItemInfo127 消费：15点体力
ItemName128 石骨飞鱼
ItemHelp128 某些石骨鱼妖力较高的会生出一对翅膀，所有的能力也较高。
ItemInfo128 消费：18点体力
ItemName129 阿加希欧
ItemHelp129 是一种与巫师定下契约的妖精，通常被封于瓶子或戒指之内，在需要时再将其呼唤出，其能力相当广泛，从做家事到杀人皆没问题。达成任务后便又被封回去了。
ItemInfo129 消费：25点体力
ItemName130 獢
ItemHelp130 枭头、狼身、蛇尾，传言会以恐怖怪异的叫声震慑敌人，只能被召唤出现；传说是地狱的魔兽。
ItemInfo130 消费：13点体力
ItemName131 吸血鬼
ItemHelp131 当人死前与撒旦定下契约，死后身体不会腐败但须定时的吸食人血补充精力。
ItemInfo131 消费：14点体力
ItemName132 侏儒
ItemHelp132 长年在地底下的小人，非常喜好黄金的类人兽。会说人类的语言；很喜欢唱歌力量也很大，一种奇特的种族。
ItemInfo132 消费：11点体力
ItemName133 亚格瑞斯
ItemHelp133 原本是神界的力天使，但是受到恶魔的蛊惑制造了大地震，伤害了许多无辜人民因而被逐至阴间。
ItemInfo133 消费：28点体力
ItemName134 半人马
ItemHelp134 原本是天界的神，医术、艺术、音乐等都非常的卓越；某山的守护神，后因被亲近的人陷害下毒，在侥幸存活下来后就变成了半人半马的圣兽了。
ItemInfo134 消费：30点体力
ItemName135 美杜莎
ItemHelp135 高哥三女妖的其中一位，半人半蛇的女妖眼泛青光，被她看见的生物马上会变成石头。
ItemInfo135 消费：28点体力
ItemName136 格莱艾
ItemHelp136 居住在长年不见天日的山洞中；三人一体的女妖共用一只眼和一张嘴，却是能知过去未来的女妖。
ItemInfo136 消费：26点体力
ItemName137 凯贝罗斯
ItemHelp137 生有三个狗头一条蛇尾，身上又长着昂首的蛇；是阴府看守犯人的地狱犬。
ItemInfo137 消费：30点体力
ItemName138 寒蛙
ItemHelp138 在海中生长但是却吃陆地的生物，尤其是猫、狗、鼠类的动物；能飞行猎食，当他遇上危险时，能发出使人致命的叫声。
ItemInfo138 消费：30点体力
ItemName139 瓶女
ItemHelp139 化身成貌美的女人在村镇诱惑男人；在与男人交欢时将其精气全数吸尽。其实她是暴风神的妻子，喜欢吸收精气增加自己的法力。
ItemInfo139 消费：35点体力
ItemName140 妖猫
ItemHelp140 当一些恶灵附身在其它死去的躯壳上时，就会产生一些变化；被长期的附身后全身成绿色且站立行走模样甚是可怕。
ItemInfo140 消费：33点体力
ItemName141 牛头鱼
ItemHelp141 传说在古代亚历山大东征时，在印度遇到的牛头怪鱼，头有三只角嘴能随意变换大小，军队目睹此怪吞食大象，还被吃去26人。也有人在欧洲发现过这种怪物。
ItemInfo141 消费：40点体力
ItemName142 雪球怪
ItemHelp142 外型圆巧可爱，生长在雪地的小精灵。不知为了什么，它会把一切看的到的生物都冻结起来，大概是为了增加伙伴吧？
ItemInfo142 消费：32点体力
ItemName143 温蒂妮
ItemHelp143 栖息在河川泉水的精灵，会以人类女性的姿态出现；传说她也会与凡人相恋、结婚生子，但若她再回到原来栖息的河川，就会还原成水。
ItemInfo143 消费：45点体力
ItemName144 竹妖
ItemHelp144 一般民间对于竹子林的神秘感都有着许多传说；常年的阴森诡异便流传着一种附身在竹子上面攻击生物的妖怪。
ItemInfo144 消费：120点体力
ItemName145 魍魉
ItemHelp145 瑞项有三子死后皆为疫鬼，其一为魍魉鬼，栖息于山川水木，好食死人肝脏，时常散布疾病。
ItemInfo145 消费：145点体力
ItemName146 妖陀螺鬼
ItemHelp146 原本是天神们的法宝，后来逃下凡间兴风作浪。
ItemInfo146 消费：160点体力
ItemName147 水仙
ItemHelp147 身怀正气之人被迫投江水后，有些能够化身成仙，在凡间保佑善良的人。
ItemInfo147 消费：90点体力
ItemName148 七仙女
ItemHelp148 玉帝有七位女儿，其中最小的曾私自下凡与凡间的男子董永结为夫妇，后被天将神兵抓回天庭。
ItemInfo148 消费：220点体力
ItemName149 九天玄女
ItemHelp149 玄女乃是道家众弟子为其封的尊称；传说原为天庭的玄鸟，被天帝派下凡间生下商朝的始祖─契，之后被后人供奉为神，道家更尊称为“九天玄女娘娘”。
ItemInfo149 消费：280点体力
ItemName150 嫦娥
ItemHelp150 后羿之妻，后羿因射日、除妖有功得西王母赐予不死药两粒，后因后羿得国土变得暴虐无道，嫦娥怕后羿得长生则百姓生活堪忧故窃食之；但食一则长生、食二则成仙，故奔月成仙。
ItemInfo150 消费：260点体力
ItemName151 琼霜
ItemHelp151 叙利亚附近的古城，相传有一石玉在霜降之时会不断的涌出冰水，随即出现一位长发女孩；如果能在女孩消失之前得到她的一根头发，便能一生都幸福。
ItemInfo151 消费：100点体力
ItemName152 玛特女神
ItemHelp152 掌管真理、正义和裁判之神；张开翅膀、头顶圆盘双手拿着羽毛参加亡灵的审判。
ItemInfo152 消费：185点体力
ItemName153 瓦雀
ItemHelp153 下埃及蜂之国法老们的守护女神。
ItemInfo153 消费：50点体力
ItemName154 上元夫人
ItemHelp154 貌约二十，身穿青霜之袍，细长的头发缠绕全身，是统领十方玉女的天神。
ItemInfo154 消费：90点体力
ItemName155 蚕女
ItemHelp155 在古蜀国境内成都城城郊的呕丝之野，有一只身披马皮、马头形状的蚕，能凭空变出蚕丝织衣，因为又是呕丝之野的第一只蚕所以也称为蚕神。
ItemInfo155 消费：175点体力
ItemName156 女夷
ItemHelp156 当她击鼓唱歌时，百谷禽鸟草木皆长，主春夏万物生长之神也称花神。
ItemInfo156 消费：180点体力
ItemName157 女夷22
ItemHelp157 当她击鼓唱歌时，百谷禽鸟草木皆长，主春夏万物生长之神也称花神。
ItemName158 娥皇
ItemHelp158 尧帝的两位女儿之一，尧为了考验舜，将两位女儿嫁予舜。后来舜驾崩于乡湘江附近的九疑山。娥皇、女英闻之便至湘江哭祭，遂投江自尽。后人怜之便建庙祭祀；遂有湘君、湘夫人之称。
ItemInfo158 消费：240点体力
ItemName159 女英
ItemHelp159 尧帝的两位女儿之一，尧为了考验舜，将两位女儿嫁予舜。后来舜驾崩于乡湘江附近的九疑山。娥皇、女英闻之便至湘江哭祭，遂投江自尽。后人怜之便建庙祭祀；遂有湘君、湘夫人之称。
ItemInfo159 消费：190点体力
ItemName160 席娜
ItemHelp160 传说是瓦雀的妹妹，但却一值没有被承认大概是因入了魔道的原因吧。
ItemInfo160 消费：70点体力
ItemName161 亚坦
ItemHelp161 拜火教的火之精灵，是在拜火教中所有的天使和精灵中能力最强的，但是地位却不是最高的；除了能自由操控火焰外，也可以不用降雨就能召唤雷电攻击敌人。
ItemInfo161 消费：52点体力
ItemName162 蝠妖
ItemHelp162 栖息在大树上，样子很丑陋会依照别人对待它的态度不同，而有所不同的回应，不过通常它回应的都是恶作剧。
ItemInfo162 消费：38点体力
ItemName163 朱蛤兽
ItemHelp163 在巴格达北方一深不见底的黑暗深渊中爬出来的蛤蟆；蛙身、蛇尾全身怪异的火红色。
ItemInfo163 消费：45点体力
ItemName164 神灯巨人
ItemHelp164 藏匿于一古油灯内，经由有缘人摩擦灯腹后就会现身完成各种精灵能力范围内的愿望。
ItemInfo164 消费：60点体力
ItemName165 色烈芬
ItemHelp165 有六对翅膀，两对盖住脸、两对盖住脚、两对用来飞翔；在翅膀下的真实面貌据说是天真无邪的儿童面孔。
ItemInfo165 消费：215点体力
ItemName166 蓝人
ItemHelp166 希腊传说的海中怪物，看见人类船只时会化整为零，包围船只，然后开始用歌声唱出谜语，人们要是猜输了，就会被击沈。还会控制沉船，藉以惊吓过往的船只，是堕天使的一种。
ItemInfo166 消费：35点体力
ItemName167 战死尸鬼
ItemHelp167 对于战胜的意念太过于执着，导致死后也到处寻找敌人。
ItemInfo167 消费：188点体力
ItemName168 鳄鱼
ItemHelp168 非常凶恶的动物，对于出现在它附近的动物是绝不放过的；当然除非它饱了。
ItemName169 大鬣蜥
ItemHelp169 蜥蜴是属于行动敏捷的猎食者，但只攻击身形比自身小的动物；不过比大鬣蜥小的动物实在太多了。
ItemName170 僵尸
ItemHelp170 由黑魔法请恶魔操控的人尸，目的是为了让敌人产生恐惧心，但实力并不强。
ItemInfo170 消费：10点体力
ItemName171 幽灵
ItemHelp171 人死后会化成灵体或至天堂或至地狱。而留恋人间不肯离去者；就成了幽灵。
ItemInfo171 消费：11点体力
ItemName172 阿普洛迪
ItemHelp172 即维纳斯女神，传说是加亚给克罗诺斯一把大镰刀把父亲的阳具给切了下来后，掉落在海里所孕化而出的神。
ItemInfo172 消费：260点体力
ItemName173 阿拔东
ItemHelp173 全身覆盖着鳞片、蝎尾、蝠翼，是负责管理地狱深渊的堕天使；传言在末世的时后会带领着戴金色皇冠的煌虫，使世界受苦五个月。
ItemInfo173 消费：105点体力
ItemName174 阿高司
ItemHelp174 宙斯妻子希拉的随身护兽，俱有百只眼睛的神兽；帮希拉监视人间一切事物，后来被哈姆斯所杀；希拉就把百只眼移植到她的爱鸟---孔雀的尾巴上。
ItemInfo174 消费：75点体力
ItemName175 炎颅
ItemHelp175 居住在山中每次一睡就是半年，每半年醒一日但那一日内却无人能敌；因醒来极度饥饿所以吃了一百头家畜五百人后就又消失于山中了。
ItemInfo175 消费：45点体力
ItemName176 黑豹
ItemHelp176 速度奇快无比，体型较其他的豹大；以飞快的速度将猎物扑倒再用尖利的牙齿咬断猎物的脖子。
ItemName177 火蝾螈
ItemHelp177 皮肤鲜明奇特如着火一般使其他的生物不敢靠近；在遭受袭击时又会分秘毒液使敌人麻痹。
ItemInfo177 消费：32点体力
ItemName178 神龙
ItemHelp178 神龙是民间的传说的神兽，是中国血统的来源，被当成中国人的祖先。
ItemInfo178 消费：320点体力
ItemName179 凤凰
ItemHelp179 丹穴山上有一奇鸟形似鸡五色斑烂，名叫凤凰。全身印有德、顺、义、仁四字，是代表天下太平的圣兽。
ItemInfo179 消费：350点体力
ItemName180 格特轮
ItemHelp180 古巴比伦帝国的神话半神半魔的怪物；天界和冥界的拦截者，因为本身成不了神，又作不成魔，所以就阻扰其它的人。
ItemName181 库塔
ItemHelp181 有着虚幻的形体，与强大的法力，喜爱看见人间处处有战火；每当他出现时就表示又要有战事了。
ItemInfo181 消费：75点体力
ItemName182 英招
ItemHelp182 马的身子，人的脸，老虎的斑纹，鸟的翅膀。巡行四海帮天帝执行各种旨命。
ItemName183 凤后
ItemHelp183 黄帝与蚩尤战于逐鹿之野，蚩尤兴大雾三日黄帝军皆不知方向；帝便命凤后作一指南车以破大雾。
ItemName184 食尸鬼
ItemHelp184 极少数的鬼魂会出现在刚去世之人的家中，吸取人体残存的精气。
ItemInfo184 消费：120点体力
ItemName185 山鬼
ItemHelp185 一些旅行各地的人常因某些原因而葬身山中，在没人发现的情况下就成了孤魂野鬼出不了此山。
ItemInfo185 消费：70点体力
ItemName186 黑无常
ItemHelp186 无常，是民间迷信所谓人死时，阎王派去勾摄生魂的“勾魂鬼”，有黑无常、白无常两位勾魂使者。
ItemInfo186 消费：240点体力
ItemName187 女丑
ItemHelp187 出生时十个太阳就把她的躯体烧了，不过她仍然躲在山中继续生长。
ItemName188 女尸
ItemHelp188 又称瑶姬是炎帝之女居住在姑媱之山，死后化成无数的大树开出黄色的花如菟丝的果实。
ItemName189 食人花
ItemHelp189 开着美丽的花朵引诱生物靠近，在将其吞食能吐出特殊黏液将敌人痲痹。
ItemInfo189 消费：28点体力
ItemName190 妖骨虫
ItemHelp190 一些妖兽死后所剩下的骨头，有些妖力特强的即使死后也能凭借仅存的妖力再生存下去。
ItemName191 乐仙女
ItemHelp191 传播美妙的音乐到天上人间每个地方；人们始终相信音乐能够平息一切纷争。
ItemInfo191 消费：200点体力
ItemName192 蛟龙女
ItemHelp192 某些得道的仙人会将一些危害人间的蛟龙收服作为自己的座骑；不过收服蛟龙可是不容易的，一不小心反而会遇害。
ItemName193 狐狸精
ItemHelp193 经常变成貌美的年轻女子勾引过客，再吸其精气换为自身的法力。
ItemName194 白无常
ItemHelp194 无常，是民间迷信所谓人死时，阎王派去勾摄生魂的“勾魂鬼”，有黑无常、白无常两位勾魂使者。
ItemInfo194 消费：250点体力
ItemName195 盘古
ItemHelp195 天地浑沌之初盘古撑开了天和地待天地成形稳定之时才回规天庭。
ItemName196 女娲
ItemHelp196 炼五色石捕天又断足平四方裂地，杀黑龙以平水害遂即捏泥造人等等万物。
ItemName197 耆戈
ItemHelp197 原为天界之神，专司人间善恶惩戒的司法神；当人类犯错事时它会降下雷电惩罚人类，但因一次的过失则遭降至人间体验人世。
ItemInfo197 消费：88点体力
ItemName198 太白金星
ItemHelp198 老态龙钟、仁厚善良，身背一角天书是玉皇大帝的钦派特使。
ItemInfo198 消费：300点体力
ItemName199 天将
ItemHelp199 天庭中的区管长，维持秩序的神。
ItemInfo199 消费：270点体力
ItemName200 天仙
ItemHelp200 人能凝聚元神脱离躯体时成为散仙，随后经过天劫后成不死之身遂成天仙。
ItemName201 尸解仙
ItemHelp201 专门搜集荒山野岭的孤魂野鬼，再与之吸收或引渡是位亦正亦邪的仙人。
ItemName202 风伯
ItemHelp202 天庭分派管理凡间的风神通常与雨师一同出现。
ItemName203 雨师
ItemHelp203 天庭分派管理凡间的雨神通常与风伯一同出现。
ItemName204 当扈
ItemHelp204 居于上申山，形像野鸡用其颈下之羽毛飞翔；吃其肉可视物于千里之外。
ItemName205 金乌
ItemHelp205 太阳神的宠物跟座骑，人间传说金乌西坠，玉兔东升；一只三脚的圣兽。
ItemName206 恶灵
ItemHelp206 被人陷害而死的鬼魂，有极大的怨念所以产生了一般鬼魂所没有的念力。
ItemInfo206 消费：15点体力
ItemName207 云生兽
ItemHelp207 有云才能生雨，有风能唤云；风伯和雨师的专用兽。
ItemName208 水鬼
ItemHelp208 躯壳被困在水底下只好每天找人帮助以让身躯能入土为安。
ItemInfo208 消费：14点体力
ItemName209 穷奇
ItemHelp209 出于邽山，形状似牛，浑身长满着刺猬般的毛；声音像狗吠是吃人的魔兽。
ItemName210 鸩
ItemHelp210 身大如雕，羽毛呈紫绿色，蛇头长颈红嘴；出现于女几山下。全身怀有剧毒。
ItemName211 飞贼
ItemHelp211 专门偷窃皇宫官邸的小偷，因为那些建筑都相当的高所以能偷的人都称为飞贼。
ItemName212 应龙
ItemHelp212 曾帮助黄帝弑蚩尤于北方，后则往南方而去故南方多水。
ItemName213 龙王
ItemHelp213 众神兽的首领，全身金色光芒包覆着有着不可思议的治疗能力。
ItemInfo213 消费：310点体力
ItemName214 黑龙
ItemHelp214 天庭内有呼唤风雨能力的圣龙，曾被海龙王要求帮助击杀挪吒。
ItemInfo214 消费：290点体力
ItemName215 解廌
ItemHelp215 身形似山牛，头有一角，因季节的不同出现的地方也不同；夏于水泽，冬于山林。
ItemName216 陆吾
ItemHelp216 人面虎身，有九条尾巴；主管天上九域的苑圃时节。
ItemName217 天吴
ItemHelp217 朝阳谷的神，有八个头每个头都有人的脸孔，八足八尾全身青中带黄。
ItemName218 白泽
ItemHelp218 自古吸收天地精气、游魂达一千五百万种者则能变化为白泽。
ItemName219 火光兽
ItemHelp219 火林山内有一鼠，毛长三四寸有白的也有红的，可日走三百里。
ItemName220 风火龟
ItemHelp220 与一般龟并无太大不同，不过体型大了些生气时会狂风大作全身冒火。
ItemName221 枯尸鬼
ItemHelp221 古埃及中将人的躯壳保存的密法，在施行之后人体的水份将完全被抽干；进而守卫墓地。
ItemInfo221 消费：40点体力
ItemName222 枯尸鬼王
ItemHelp222 古埃及中将人的躯壳保存的密法，在施行之后人体的水份将完全被抽干；进而守卫墓地，其中有些较强的护卫都会成为众枯尸的首领。
ItemInfo222 消费：48点体力
ItemName223 石狮精
ItemHelp223 原为庙寺前的守护灵兽像，但某些石像因受到仙灵的薰陶与日月的精华；遂能幻化为精。
ItemInfo223 消费：260点体力
ItemName225 麒麟
ItemName226 独角兽
ItemHelp226 拥有神奇的治愈能力，非常喜爱音乐只要有音乐的地方就会看见独角兽；不少人千方百计的要捕捉它把神奇的角取下。
ItemInfo226 消费：175点体力
ItemName228 阿吉达哈卡
ItemHelp228 三头六眼的邪恶之龙，一千年前被火神封印在山下；千年之后此龙再度出现被一位默默无名的英雄再度封印。
ItemName229 阿奇斯
ItemHelp229 斯堪地那维亚半岛上的一种巨型草食性动物，有着一个像麋鹿头的头，且跟身体一样的大，它绝不会让自己的身体倒下去，因为它后脚无关节，蹲或躺下后就再也站不起来了。
ItemName230 艾柏斯
ItemHelp230 伊斯兰教传说中最大的恶魔，当人的审判日来时信仰不忠实的人都会被它所擒。
ItemName231 乌土克
ItemHelp231 古代巴比伦所传说的守护灵，人身牛头长着双翼，有些守护着人类，有些却给人带来死亡与疾病。
ItemName232 乌里库米
ItemHelp232 古代赫梯人(Hittie)传说的石头巨人，身高从地表到达天界，经常从海上上岸破坏人类的住所，也反抗天上诸神。最后被切下脚跟而毁灭。
ItemName233 爱里奥
ItemHelp233 非常调皮的小精灵，喜欢扰乱在作家事的妇女；看到她们手忙脚乱的这种精灵就很高兴，民众对这种精灵实在束手无策。
ItemName236 佩色斯
ItemName238 尼梅亚狮
